Obs,STU_ID,STRAT_ID,F1MATHSE,F1TXMBIR,F1TXM1IR,F2PS0601,F3TZCMTHGPA,F1A07B,F1A07E,F1S16A,F1S16B,F1S16C,F1S16D,F1S16E,F1S16F,F1S16G,F1S16H,F1S16I,F1S17A,F1S17B,F1S17C,F1S17D,F1S17E,F1S17F,F1S17G,F1S17H,F1S17I,F1S17J,F1S40N,F2B17A,F2B17B,F1SES1,F1RACE,F1SEX,F1MOTHED,F1FATHED,outcome,F2F1WT,F3F1PNLPSWT,Factor1,Factor2
5654,413109,413,-0.755,38.64,56.79,1,3,6,6,3,1,3,1,1,3,1,1,3,1,1,3,3,3,2,1,1,2,1,3,2,1,0.92,7,1,6,6,0,109.574,113.959,0.00577,0.02167
5655,413111,413,-0.259,51.87,53.1,2,2,6,6,2,1,3,1,1,3,1,2,3,1,1,3,3,3,1,1,1,3,1,3,3,3,0.66,7,1,6,5,0,104.55,115.86,0.01085,0.00729
5656,413112,413,1.811,54.25,70.86,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,2,3,1,1,1,3,2,2,0.74,7,1,5,6,1,107.019,99.836,0.05192,-0.03522
5657,413118,413,-0.477,44.3,60.88,1,.,6,6,1,1,3,1,1,3,1,1,1,1,1,3,3,3,3,3,1,1,1,3,3,3,0.46,7,1,2,7,0,121.667,102.606,0.04019,-0.02564
5658,413119,413,0.003,63.74,68.81,1,3,6,6,1,2,3,1,1,3,1,2,3,1,1,3,3,3,1,3,1,1,1,3,2,1,1.44,7,1,6,8,0,104.53,95.539,0.03471,-0.02965
5659,413201,413,1.025,50.64,60.37,1,4,6,6,4,1,3,1,1,3,0,3,3,1,3,3,3,3,3,3,3,1,1,3,3,2,1.13,7,1,7,7,1,81.717,78.824,0.06561,0.02627
5660,413205,413,1.019,55.53,64.95,1,.,6,6,3,3,1,1,1,3,1,3,3,1,1,3,3,3,3,3,1,1,1,3,3,2,0.62,7,1,6,2,0,85.271,96.145,0.03512,0.01208
5661,413206,413,-0.258,51.8,62.3,1,.,6,6,3,1,3,1,1,1,1,3,3,1,3,3,3,3,3,3,3,1,1,3,2,1,1.62,7,1,7,8,0,82.884,71.804,0.0375,0.02559
5662,413207,413,-0.755,47.33,47.46,,.,6,6,4,1,3,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,3,,,-0.03,7,1,2,4,0,0,74.656,-0.0501,0.06271
5663,414101,414,0.483,57.53,67.54,1,2.25,7,7,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,3,3,-0.92,2,2,1,2,0,51.235,50.678,0.0467,-0.02749
5664,414103,414,-0.504,50.94,54.73,1,.,7,7,1,3,3,1,1,3,1,1,3,1,1,1,3,3,1,3,1,1,3,3,3,2,0.95,7,2,4,6,0,114.587,111.84,0.02824,-0.04655
5665,414105,414,0.774,51.94,61.98,1,.,7,7,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,3,1,1,1,3,2,3,1.19,7,1,6,7,0,120.107,126.21,0.0467,-0.02749
5666,414106,414,1.024,52.32,53.12,1,3,7,7,1,3,3,1,1,3,1,3,1,1,1,3,3,3,2,3,1,1,1,3,3,3,0.89,7,1,6,6,0,122.423,133.317,0.05544,-0.0244
5667,414107,414,1.27,61.32,70.72,1,2.25,7,7,1,3,3,1,1,3,1,3,1,1,1,1,3,2,2,3,3,1,1,3,3,1,0.79,7,2,2,7,0,114.388,126.937,0.06113,-0.06234
5668,414109,414,0,67.57,75.79,1,3,7,7,4,3,3,1,1,3,1,3,1,4,1,1,3,2,2,1,3,1,3,3,3,3,1.19,6,2,4,8,0,27.617,26.062,0.02066,0.04704
5669,414110,414,1.32,45.17,61.13,1,1,7,7,1,3,3,1,1,3,1,1,1,1,3,1,3,3,1,1,1,1,3,3,2,2,0.69,7,1,6,5,1,121.357,193.582,-0.0073,-0.00674
5670,414111,414,0.528,60.16,61.13,1,2.5,7,7,1,3,3,1,1,3,1,3,1,1,1,1,3,3,1,3,1,1,3,3,3,3,0.93,7,1,4,7,0,124.454,113.102,0.04871,-0.05304
5671,414112,414,-0.755,64.45,70.85,1,2,7,7,1,3,3,1,1,3,1,1,1,1,1,3,3,3,1,3,1,1,1,3,2,2,0.32,5,1,3,6,1,32.161,33.543,0.02624,-0.02099
5672,414201,414,0.528,56.13,66.1,1,3.5,6,6,3,1,3,1,1,3,1,3,1,1,1,3,1,3,1,3,3,1,1,3,3,2,0.61,7,2,4,6,0,64.437,68.466,0.03506,-0.03567
5673,414202,414,-0.493,21.35,21.65,2,1,6,6,1,1,3,1,1,2,1,1,2,1,3,3,3,3,1,1,1,1,1,3,2,1,0.14,7,2,6,2,0,65.534,64.224,-0.02899,0.01031
5674,414203,414,0.761,51.53,63.49,1,.,6,6,1,1,4,1,1,3,1,2,1,1,1,3,2,3,1,3,3,1,1,3,3,3,0.33,7,2,2,5,0,68.467,60.78,0.05526,-0.05631
5675,414204,414,1.811,58.08,67.91,1,3.5,6,6,1,1,3,1,1,3,1,1,3,1,1,3,3,3,1,3,1,1,1,3,3,3,0.5,7,1,5,7,1,64.481,59.302,0.02271,-0.03181
5676,414205,414,-0.755,56.6,69.06,1,2,6,6,3,1,4,1,1,3,1,3,1,1,3,3,2,3,1,3,3,1,1,3,3,3,1.13,7,1,6,7,1,64.021,58.409,0.05096,0.00529
5677,414209,414,-0.509,59.52,64.08,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,3,3,1,1,3,3,2,0.71,5,2,5,5,1,13.66,13.189,0.06687,-0.05005
5678,414210,414,0.992,56.24,60.65,1,4,6,6,1,1,4,1,1,4,1,1,1,1,1,3,2,3,2,3,3,1,1,3,3,3,0.61,7,2,6,6,1,64.077,88.339,0.06992,-0.05229
5679,414213,414,0.774,54.06,65.94,1,3,6,6,1,1,4,1,1,4,1,1,1,1,1,3,3,3,1,3,3,1,1,3,3,3,1.07,7,1,5,8,0,68.115,61.541,0.07543,-0.04587
5680,414216,414,0.528,53.79,65.23,1,3,6,6,1,1,3,1,3,3,1,1,1,1,1,3,3,3,1,3,1,1,1,3,2,2,0.49,7,1,6,7,0,67.53,0,0.02093,-0.02253
5681,414217,414,-1.002,60.55,71.02,1,3,6,6,1,1,4,1,1,3,1,3,1,1,1,3,2,3,1,3,3,1,1,3,3,3,0.42,6,2,5,5,1,65.861,68.167,0.0655,-0.05956
5682,414218,414,-0.215,51.68,64.75,1,2,6,6,1,1,3,1,1,3,1,4,0,1,1,3,2,3,1,3,3,1,1,3,3,2,1.05,7,1,7,5,1,68.432,62.089,0.06285,-0.0628
5683,414219,414,0.25,33.01,46.49,2,3.5,6,6,1,3,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,3,-0.2,7,2,2,5,1,66.623,66.599,0.00192,-0.01264
5684,414220,414,-0.275,59.15,62.99,1,3,6,6,1,1,4,1,1,3,1,2,1,1,1,3,3,3,1,3,3,1,1,3,3,3,-0.03,3,2,6,5,0,23.973,25.345,0.06951,-0.04681
5685,414226,414,0.777,50.17,67.08,1,2.5,6,6,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,3,3,1,1,3,3,3,0.58,7,1,2,6,0,68.115,76.367,0.06687,-0.05005
5686,414229,414,-0.014,67.68,70.13,1,.,6,6,1,1,4,1,1,4,1,1,1,1,1,3,3,3,1,3,3,1,1,3,3,3,-0.34,7,2,2,2,1,66.205,61.48,0.07543,-0.04587
5687,415101,415,1.548,51.84,63.76,,2.25,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,,,0.48,7,1,2,3,1,0,77.315,0.02239,-0.01914
5688,415103,415,-1.051,33.81,43.34,1,1.5,6,6,1,3,3,1,1,3,1,1,1,1,3,3,3,3,1,1,1,1,1,3,1,2,0.8,7,2,5,8,0,82.115,84.32,-0.00931,0.01882
5689,415104,415,0.266,62.74,70.15,1,4,6,6,1,3,3,1,3,3,1,3,3,1,3,3,3,3,0,1,1,1,3,3,3,2,1.7,5,1,8,8,1,88.818,84.84,0.00064,0.01852
5690,415105,415,-1.761,24.94,32.68,1,1.5,6,6,3,3,3,1,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,1,1,0.93,7,2,5,7,0,82.211,77.587,-0.0144,0.06149
5691,415106,415,0.528,40.75,51.78,1,4,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,3,-0.23,7,2,5,5,1,87.774,78.847,0.02239,-0.01914
5692,415108,415,1.27,64.05,67.14,1,4,6,6,1,3,4,1,1,3,1,3,3,1,1,1,3,3,2,1,1,1,2,3,3,3,1.36,7,2,7,7,1,81.578,80.441,0.04601,-0.04161
5693,415109,415,.,61.87,71.93,1,2.75,.,6,3,3,3,1,3,3,1,3,3,1,1,3,3,3,1,1,3,1,3,2,3,1,0.59,7,2,4,6,1,80.547,130.202,0.04099,0.01179
5694,415110,415,-0.509,34.32,41.12,0,1,6,6,0,3,3,1,1,3,1,1,0,1,1,3,3,3,1,1,1,1,1,3,3,3,0.62,6,2,6,6,0,20.369,19.61,0.00357,-0.02933
5695,415113,415,1.068,54.23,62.48,1,.,6,6,0,3,3,0,3,3,1,3,0,1,1,3,3,3,3,1,3,1,1,3,3,3,0.93,7,1,6,6,1,86.767,89.724,0.06406,-0.04703
5696,415114,415,.,67.02,.,1,3.5,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,1.24,7,2,7,8,1,0,0,-0.22516,-0.16943
5697,415115,415,1.024,51.11,58.03,1,2.75,6,6,1,3,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,2,0.98,7,2,6,8,1,81.69,78.037,0.00192,-0.01264
5698,415116,415,1.533,71.32,79.38,1,3.75,6,6,1,1,4,1,1,4,1,3,3,1,1,1,3,3,1,1,3,1,3,3,3,2,1.1,7,1,6,7,1,80.746,77.395,0.0736,-0.06958
5699,415117,415,.,46.04,56.77,1,4,6,6,1,3,3,1,3,3,1,3,1,1,3,3,3,3,1,1,1,3,1,3,2,2,0.59,7,1,6,6,1,83.251,208.109,0.01325,0.0389
5700,415118,415,1.811,66.2,75.09,1,.,6,6,1,3,3,1,3,3,1,3,3,1,3,3,3,3,3,1,3,1,1,3,3,2,1.41,7,1,8,7,0,86.233,76.747,0.05054,0.01602
5701,415119,415,-0.013,52.76,63.73,1,4,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,2,2,2,0.98,7,1,6,8,0,85.257,88.389,0.02239,-0.01914
5702,415120,415,0.746,45.72,60.6,1,3,6,6,1,3,3,1,1,3,1,3,3,1,1,3,3,3,1,1,1,1,3,3,3,3,0.26,7,1,2,6,0,86.877,82.719,0.02239,-0.01914
5703,415121,415,0.526,53.48,62.45,2,2.5,6,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,3,-0.06,7,1,5,2,0,88.442,76.668,0.01709,-0.02067
5704,415122,415,0.528,45.34,59.67,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,3,3,3,1,1,1,1,3,3,3,3,0.86,7,1,3,8,1,82.857,75.142,0.01887,-0.02995
5705,415123,415,-1.542,40.17,50.89,0,2,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,2,1.06,7,2,6,6,1,83.028,77.182,0.02239,-0.01914
5706,415124,415,-0.248,51.34,57.11,,2.75,6,6,3,3,3,1,3,3,1,3,1,3,3,3,3,3,1,1,1,1,3,3,,,0.5,7,1,6,5,0,0,80.378,-0.00139,0.08895
5707,415126,415,.,37,41.58,1,2.75,6,6,1,3,3,1,3,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,2,0.51,7,2,4,6,1,133.892,120.262,0.02061,-0.00985
5708,415128,415,0.495,47.37,59.04,1,4,6,6,1,3,3,1,3,3,1,3,3,1,3,3,3,3,1,1,1,1,3,3,3,3,0,7,2,3,5,1,84.633,75.934,0.00938,0.0216
5709,415201,415,.,51.26,54.76,2,2,6,6,3,1,3,3,1,1,1,3,3,1,3,3,3,3,1,1,1,1,1,3,2,3,0.95,7,2,5,7,0,75.705,73.825,-0.02925,0.06933
5710,415202,415,.,42.22,39.49,1,3,6,6,3,1,3,1,1,3,1,1,1,1,1,3,3,2,2,1,1,3,1,3,2,2,0.02,7,2,5,2,0,76.274,78.559,-0.01231,0.02969
5711,415203,415,-0.013,56.78,53.72,1,.,6,6,3,1,3,1,1,3,1,1,3,1,1,3,3,3,3,3,1,1,1,3,2,2,-1.2,7,2,2,2,1,76.753,80.889,0.03688,0.00775
5712,415205,415,1.533,45.73,56.97,1,4,6,6,3,1,3,1,1,3,1,1,1,1,1,3,3,3,3,1,1,3,1,3,2,2,1.53,7,2,7,8,0,75.793,77.244,0.01644,0.0334
5713,415206,415,1.019,78.19,57.39,1,3.5,6,6,1,1,4,1,1,4,4,1,1,1,1,1,3,2,2,3,3,1,1,3,3,3,0.91,6,1,6,6,1,78.78,143.339,0.07381,-0.03479
5714,415207,415,1.302,35.25,43.86,1,3,6,6,3,3,3,1,3,3,1,1,1,1,1,3,3,2,2,1,1,3,0,3,2,2,0.15,7,2,5,4,0,78.775,84.16,-0.01057,0.04978
5715,415208,415,-0.013,60.7,62.22,1,3,6,6,1,1,4,1,1,4,3,1,1,1,1,1,3,2,2,3,3,1,1,3,3,3,-0.08,7,2,5,2,0,78.268,73.905,0.07127,-0.04619
5716,415209,415,0.232,58.55,56.15,1,.,6,6,3,1,3,1,1,3,1,1,3,1,1,3,3,3,3,3,1,1,1,3,2,2,0.96,7,2,6,6,1,76.772,73.569,0.03688,0.00775
5717,415210,415,0.773,43.45,74.07,1,2,6,6,3,1,3,1,1,3,1,1,3,1,1,3,3,2,2,1,1,1,1,3,2,2,1.04,7,1,6,7,0,77.364,78.089,-0.01618,0.01239
5718,415211,415,0.03,31.62,36.07,2,3,6,6,3,1,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,3,1,3,3,2,0.35,7,2,5,5,0,78.066,80.067,-0.00103,0.02723
5719,415216,415,-0.248,63.58,69.35,1,2,6,6,1,1,3,1,1,4,1,3,1,1,1,1,3,3,3,3,3,1,1,3,3,3,1.21,7,1,7,6,1,78.72,72.171,0.10251,-0.07175
5720,416103,416,-0.51,45.01,48.3,1,1,6,6,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,1,3,1,1,3,3,2,1.17,7,2,5,8,0,124.269,108.993,0.02109,0.08059
5721,416105,416,.,56.6,64.04,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,2,2,1,1,1,3,1,1,0.82,7,2,7,6,1,133.382,118.774,0.04328,-0.02022
5722,416106,416,0.232,47.39,64.08,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,2,2,1,4,1,1,3,2,3,0.78,7,2,3,6,1,124.479,132.798,0.04866,-0.05986
5723,416107,416,1.533,49.35,65.29,1,2,6,6,4,3,3,1,1,3,1,3,1,1,1,3,3,3,2,2,1,1,1,3,3,2,0.92,5,2,5,7,0,99.465,99.625,0.03833,0.02986
5724,416108,416,.,55.66,69.47,1,.,6,6,1,3,4,1,1,3,1,4,1,1,1,1,3,2,2,1,4,1,1,3,3,3,0.32,7,2,3,3,1,130.424,120.168,0.07177,-0.06311
5725,416110,416,0.79,61.57,73.61,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,2,2,1,4,1,1,3,2,1,0.69,7,2,3,3,1,122.978,128.34,0.04866,-0.05986
5726,416112,416,1.019,46.86,73.88,1,.,6,6,1,3,4,1,1,3,1,3,1,1,1,3,3,2,2,1,3,1,1,3,2,3,0.5,2,2,6,6,1,128.905,113.39,0.04768,-0.02843
5727,416114,416,.,42.17,57.91,1,4,.,6,1,3,4,1,1,3,1,1,1,1,1,3,3,3,1,3,1,1,1,3,3,2,-0.08,7,2,3,5,1,135.473,129.791,0.03911,-0.02099
5728,416115,416,-0.226,69.4,68.6,1,4,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,2,2,1,4,1,1,3,3,2,0.71,7,2,5,6,1,121.893,126.268,0.04866,-0.05986
5729,416116,416,.,61.75,64.77,1,.,.,6,1,3,3,1,1,3,1,1,1,1,1,1,3,3,2,2,1,1,1,3,3,3,1.06,5,2,6,6,0,124.415,128.771,0.02482,-0.03929
5730,416117,416,-0.755,46.27,52.99,1,.,6,6,1,3,3,1,1,3,1,1,1,1,1,3,3,3,2,2,1,1,1,3,2,1,0.28,7,2,3,3,1,122.183,109.873,0.02282,-0.01373
5731,416118,416,-0.504,36.61,46.36,1,3,6,6,1,3,3,1,2,3,1,1,2,1,1,3,3,3,3,1,1,1,1,3,2,2,0.36,3,2,3,5,0,109.039,129.812,0.0185,-0.00183
5732,416119,416,.,55.08,60.25,1,2.5,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,2,2,1,1,1,3,3,3,-0.53,5,2,2,4,1,96.191,103.124,0.04328,-0.02022
5733,416120,416,0.25,50.36,61.74,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,2,2,1,3,1,1,3,2,2,1.62,7,2,8,8,1,131.027,110.105,0.0348,-0.02843
5734,416121,416,0.495,39.91,54.4,,2.25,6,6,4,4,4,1,1,4,2,4,1,4,4,4,4,4,4,1,1,2,4,3,,,0.36,7,2,4,2,1,126.683,112.419,0.09438,0.18113
5735,416122,416,-0.755,59.26,69.52,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,2,1,1,1,2,3,3,3,0.21,7,2,2,3,0,126.856,117.648,0.03113,-0.01605
5736,416123,416,.,31.9,36.52,,.,6,6,3,3,3,1,1,3,1,3,0,3,3,3,3,3,2,2,1,1,0,3,,,1.38,6,2,7,7,1,0,194.446,0.02129,0.07858
5737,416205,416,0.528,56.67,62.77,1,2.5,6,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,2,2,3,1,1,3,3,2,1.36,7,1,7,7,1,132.665,132.062,0.06345,-0.04279
5738,416207,416,1.533,66.44,68.92,1,3.5,6,6,1,0,3,0,0,3,0,3,3,1,1,3,3,3,4,2,1,1,1,3,3,2,-0.03,7,2,2,3,1,125.656,123.097,0.05446,-0.06122
5739,416208,416,.,39.23,45.19,1,1.5,6,6,3,3,4,1,1,4,1,1,4,1,1,3,3,3,1,1,1,3,1,3,2,2,1.21,6,2,7,6,0,101.001,87.341,0.03152,0.03573
5740,416213,416,0.761,64.82,66.18,1,4,6,6,3,1,3,1,1,4,1,1,3,1,1,3,3,3,4,2,1,1,1,3,2,3,-0.28,5,1,5,1,0,90.363,81.716,0.04962,0.0127
5741,416219,416,.,64.49,67.74,1,.,6,6,3,1,3,1,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,3,2,,1.59,5,2,7,8,1,93.352,89.806,0.01257,0.0161
5742,416222,416,1.024,45.79,50.23,1,3,6,6,4,1,4,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,2,2,0.73,2,1,4,4,0,123.601,110.695,0.00632,0.02662
5743,416223,416,-1.033,39.63,45.94,1,3,6,6,3,1,3,1,1,4,1,1,1,1,1,3,3,3,1,1,1,1,1,3,3,2,-0.65,6,2,1,6,1,104.54,118.242,0.01125,0.00762
5744,417105,417,0.823,61.76,79.35,1,.,.,6,3,1,3,1,1,3,1,3,1,1,1,3,3,3,2,2,4,1,1,3,3,2,0.3,6,1,1,6,1,190.96,164.323,0.07199,-0.01528
5745,417106,417,-0.013,44.52,51.68,1,2.75,.,6,1,3,3,1,1,3,1,1,3,1,1,3,3,3,2,3,1,1,1,3,3,3,0.78,7,1,6,6,0,188.254,211.162,0.03497,-0.0179
5746,417108,417,-0.804,48.67,53.76,1,2.75,.,6,1,3,3,1,3,3,1,1,1,1,1,3,3,3,2,1,1,1,2,3,3,3,-0.69,7,1,2,2,0,190.96,157.892,0.00888,-0.00027
5747,417109,417,-0.755,61.87,64.04,1,2.75,.,6,1,3,3,1,3,3,1,1,1,1,1,3,3,3,3,3,1,1,1,3,3,3,0.1,2,1,2,6,1,104.377,119.906,0.04193,-0.00554
5748,417111,417,0.501,33.44,40.51,1,2,.,6,3,3,3,1,3,1,1,1,3,1,1,3,3,3,3,1,1,1,1,3,3,3,-0.24,5,1,2,2,0,147.499,189.205,-0.018,0.04083
5749,417112,417,-0.755,42.45,47.85,1,.,.,6,1,3,3,1,1,3,1,1,3,1,1,3,3,1,1,1,1,1,3,3,2,2,0.43,2,1,6,6,0,190.261,186.384,-0.0381,-0.0139
5750,417116,417,.,49.29,.,1,3.5,.,6,1,1,3,1,1,3,1,1,1,1,2,3,2,1,2,1,1,1,1,3,2,3,1.06,2,1,6,6,0,124.012,86.514,-0.05275,-0.0154
5751,417118,417,1.564,53.46,66.39,1,4,.,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,1,3,1,2,0.54,3,1,5,7,1,144.263,142.643,0.04187,-0.03852
5752,417119,417,1.302,45.66,65.6,1,2.25,.,6,1,3,3,1,1,3,1,3,3,1,1,3,3,1,2,2,1,1,1,3,2,2,0.77,2,1,8,2,1,95.004,117.451,0.00327,-0.02148
5753,417121,417,0.014,31.65,42.86,1,2.5,.,6,3,3,3,1,1,3,1,1,3,1,1,3,3,3,2,1,1,1,2,3,2,2,0.42,6,1,6,5,1,190.96,209.381,0.00735,0.02384
5754,417122,417,-1.051,46.51,53.36,1,3,.,6,1,3,3,1,1,3,1,3,1,1,1,3,3,1,1,1,1,1,3,3,2,2,0.05,5,1,7,1,1,148.605,119.269,-0.01763,-0.02039
5755,417125,417,-1.542,39.76,52.55,1,.,.,6,3,3,3,1,3,1,1,1,1,1,1,3,3,3,2,1,1,1,2,3,2,3,0.16,7,1,6,4,1,190.96,211.162,-0.02674,0.03774
5756,417126,417,0.238,44.89,55.44,1,.,.,6,1,3,3,1,1,3,1,1,3,1,1,3,3,3,2,3,1,1,1,3,2,2,0.32,2,1,3,6,1,93.123,88.052,0.03497,-0.0179
5757,417128,417,1.068,65.63,64.53,1,2.25,.,6,1,1,3,1,1,4,1,3,1,1,1,3,3,3,2,3,1,1,1,2,2,2,1.06,7,1,6,6,1,185.678,156.471,0.06808,-0.03753
5758,417202,417,0.483,40.21,45.94,3,.,6,6,1,1,3,1,3,1,1,1,2,1,3,3,3,3,1,1,1,1,1,3,2,3,0.14,6,2,3,6,0,76.373,81.937,-0.04692,0.02191
5759,417203,417,0.761,64.36,73.65,1,3,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,2,2,3,3,1,1,3,3,2,0.43,7,1,6,5,1,111.839,107.844,0.05761,-0.07315
5760,417205,417,-1.793,55.46,58.94,1,.,6,6,1,1,3,1,1,3,0,1,3,1,1,3,3,2,2,3,1,1,1,3,3,2,1.11,7,2,3,8,0,92.013,75.328,0.00889,-0.04075
5761,417206,417,-1.018,68.08,65.12,1,.,6,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,3,3,3,1,1,3,3,3,0.52,6,1,6,6,1,93.046,211.162,0.08635,-0.06944
5762,417207,417,-1.793,41.04,50.4,1,1.75,6,6,1,1,3,1,1,3,1,1,2,1,3,3,3,3,3,1,1,1,1,3,1,3,1.51,2,1,8,8,1,43.338,0,0.00465,0.01417
5763,417210,417,0.025,50.12,59.88,1,.,6,6,1,4,1,1,1,3,1,3,3,0,0,3,3,2,2,1,3,0,0,,1,2,0.32,2,1,2,8,1,51.886,33.475,0.01822,-0.06437
5764,417212,417,-0.755,64.9,70.85,1,.,6,6,2,1,4,1,1,3,1,3,0,1,1,2,2,2,2,3,3,1,1,3,2,2,0.67,5,2,6,6,1,88.142,207.114,0.05358,-0.05319
5765,417213,417,-1.019,62.83,72.02,1,3.25,6,6,1,1,3,1,3,3,1,1,1,1,1,2,2,2,2,3,3,1,1,3,3,2,0.6,7,2,6,6,1,97.999,132.156,0.0201,-0.0541
5766,417214,417,-2.039,47.4,47.08,1,2,6,6,1,1,3,1,3,1,1,1,3,1,1,3,3,3,1,1,1,1,3,2,2,3,0.66,7,2,3,6,0,94.458,210.901,-0.03569,-0.00955
5767,417215,417,-0.248,49.41,63.07,1,.,6,6,1,1,3,1,3,1,1,1,3,1,1,3,3,1,3,3,1,1,1,3,2,1,1.36,2,2,6,8,1,40.721,33.432,-0.03392,-0.01299
5768,417218,417,0.51,51.48,63.32,1,3.75,6,6,1,1,3,1,1,3,3,3,1,1,1,3,2,2,2,3,3,1,1,3,3,2,-0.12,2,1,4,1,1,43.688,58.985,0.04644,-0.03431
5769,417219,417,1.566,50.54,55.67,1,1.25,6,6,1,4,3,1,3,3,1,1,2,1,1,3,3,3,2,1,1,2,1,3,2,3,-0.49,5,1,6,1,0,64.882,120.422,0.01257,0.01378
5770,417221,417,0.528,60.75,67.64,1,2.75,6,6,1,1,3,1,1,3,1,1,3,1,1,3,3,2,2,1,1,1,2,3,2,2,1.02,7,2,6,7,1,76.694,82.435,-0.01287,-0.021
5771,418101,418,.,51.85,62.67,1,0,.,6,3,3,3,1,1,3,1,3,1,1,3,3,3,3,1,1,1,1,1,3,2,2,1.1,7,1,5,7,0,126.916,101.462,0.00786,0.04571
5772,418102,418,1.533,67.36,72.53,1,.,5,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,2,2,3,1,1,3,3,3,0.42,2,1,6,5,1,101.575,102.779,0.06546,-0.06835
5773,418104,418,1.019,35.97,39.2,0,2,5,6,3,1,3,1,1,3,1,1,1,2,2,3,3,1,0,0,0,0,0,3,3,2,-0.04,2,1,5,6,1,95.3,106.986,-0.08895,0.0397
5774,418112,418,0.25,54.04,64.93,,3.75,5,6,3,1,3,1,1,3,1,3,3,1,2,4,3,3,1,1,1,1,1,3,,,-0.7,2,1,2,2,1,0,88.752,0.00894,0.03194
5775,418114,418,-0.264,43.34,58.97,1,3,5,6,1,2,3,1,1,3,1,3,1,1,1,3,1,3,1,1,1,1,1,3,3,3,-0.93,2,1,3,1,1,91.94,79.843,-0.00787,-0.04355
5776,418115,418,0.523,60.53,68.34,1,1.75,5,6,1,1,3,1,1,3,1,3,1,1,1,4,3,3,1,1,1,1,1,3,2,3,0.52,2,1,6,6,0,97.892,191.207,0.01786,-0.01717
5777,418116,418,0.003,30.98,24.84,1,1,5,6,3,1,3,1,1,3,1,3,1,3,2,3,3,2,1,1,1,1,1,3,2,3,-0.68,2,1,1,4,1,88.257,84.49,-0.01752,0.0525
5778,418118,418,1.024,50.88,54.94,0,.,5,6,3,1,3,1,1,3,1,1,1,1,1,2,3,3,1,1,1,1,1,3,3,3,-0.2,5,1,2,6,1,92.546,86.751,-0.0039,-0.00285
5779,418201,418,-0.755,56.12,57.14,0,2.5,7,7,1,1,3,1,0,3,1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,1.06,7,2,6,6,0,120.152,103.077,0.08524,-0.04852
5780,418202,418,0.746,58.27,65.21,1,2,7,7,1,1,3,1,1,3,1,3,1,1,1,3,1,3,3,3,1,1,3,3,3,1,1.03,7,2,6,6,0,129.076,0,0.03216,-0.05113
5781,418203,418,0.501,55.54,60.33,1,3.5,7,7,1,1,3,1,1,2,1,3,1,1,1,3,3,2,2,3,1,1,1,3,3,2,0.51,5,2,7,3,1,95.276,81.923,0.01575,-0.03353
5782,418204,418,.,47.92,52.59,1,3.5,7,7,3,1,1,3,1,1,3,3,1,1,3,3,3,3,3,1,1,1,1,3,2,2,1.6,7,2,8,8,0,143.716,122.531,-0.03244,0.0983
5783,418205,418,-2.039,59.11,62.56,1,2.5,7,7,1,1,3,1,1,3,1,3,1,1,1,3,3,2,2,3,1,1,1,3,2,2,0.54,5,2,6,4,0,115.264,129.257,0.03191,-0.03585
